numpt	contig	overlap_reads	non-overlap_reads
15_cp_73	15	40	32
15_mt_27	15	47	102
15_cp_61	15	56	42
15_cp_17	15	63	79
15_cp_27	15	109	62
15_mt_31	15	0	12718
15_mt_32	15	15	3902
15_cp_58	15	71	70
15_cp_49	15	62	37
15_cp_71	15	14	3
15_cp_8	15	47	7834
15_cp_78	15	222	85
15_cp_110	15	91	12
15_mt_40	15	58	6331
15_cp_60	15	83	20
15_mt_43	15	56	11
15_cp_6	15	0	23619
15_cp_3	15	0	356351
15_cp_88	15	77	35
15_cp_36	15	64	316
15_cp_34	15	0	103
15_cp_44	15	0	22
15_mt_47	15	10	1443
15_cp_74	15	82	360
15_cp_69	15	40	43
15_cp_80	15	113	12
15_cp_23	15	105	80
15_cp_90	15	66	24
15_cp_21	15	120	97
15_cp_70	15	34	19
15_cp_50	15	33	23
15_mt_49	15	42	17
15_cp_106	15	110	8
15_mt_51	15	0	614
15_mt_53	15	0	1564
15_mt_55	15	0	4874
15_cp_95	15	100	40
15_cp_72	15	43	99
16_cp_6	16	66	72
16_mt_2	16	0	637
16_cp_7	16	330	12
16_cp_10	16	0	0
16_mt_3	16	0	13694
16_cp_4	16	0	1
16_mt_5	16	1	4
16_mt_7	16	0	0
16_cp_9	16	92	43
16_cp_3	16	193	174
16_cp_12	16	92	44
16_cp_16	16	84	17
16_cp_13	16	77	22
17_cp_6	17	37	10
17_mt_2	17	159	29
17_cp_5	17	19	11
17_mt_4	17	11	0
17_cp_3	17	82	25
17_mt_5	17	160	67
17_cp_4	17	32	167
17_cp_2	17	54	17
17_cp_1	17	95	74
17_cp_7	17	0	0
18_cp_2	18	0	7
18_cp_8	18	38	21
18_mt_2	18	48	34
18_cp_1	18	0	30631
18_mt_14	18	18	1751
18_mt_16	18	17	165
18_cp_5	18	67	46
18_cp_7	18	86	85
18_cp_10	18	52	37
18_cp_4	18	93	25
18_mt_20	18	0	3611
18_cp_9	18	17	10
19_mt_2	19	22	196
19_cp_16	19	94	49
19_cp_11	19	27	58
19_cp_26	19	18	7
19_cp_19	19	109	45
19_cp_18	19	0	275
19_mt_7	19	0	45768
19_cp_9	19	124	75
19_cp_7	19	97	691
19_cp_17	19	81	723
19_cp_24	19	98	15
19_mt_14	19	53	229
19_cp_14	19	46	64
19_cp_12	19	18	47
19_cp_21	19	104	25
19_cp_25	19	116	37
19_cp_22	19	76	37
20_cp_39	20	94	218
20_cp_49	20	0	0
20_cp_4	20	71	141
20_cp_6	20	62	118
20_mt_1	20	6	827
20_cp_48	20	90	23
20_cp_25	20	49	31
20_cp_14	20	76	45
20_cp_9	20	84	119
20_cp_11	20	108	948
20_cp_26	20	0	24
20_cp_34	20	61	109
20_cp_22	20	38	34
20_cp_35	20	11	55
20_mt_3	20	54	2080
20_mt_6	20	59	17
20_cp_1	20	127	14511
20_cp_24	20	21	6
20_mt_33	20	61	23
20_cp_15	20	88	110
20_cp_31	20	22	21
20_mt_35	20	85	191
20_cp_30	20	80	12
20_cp_17	20	38	56
20_cp_38	20	64	45
20_cp_18	20	71	42
20_mt_36	20	0	7
20_cp_8	20	51	784
20_mt_37	20	0	15339
20_cp_19	20	44	37
20_cp_40	20	34	14
20_cp_28	20	39	23
20_cp_3	20	85	180
20_cp_13	20	61	112
20_cp_47	20	53	5
21_cp_16	21	87	38
21_cp_22	21	62	23
21_mt_1	21	0	3586
21_cp_15	21	63	81
21_cp_4	21	85	102
21_mt_4	21	11	67
21_mt_6	21	117	85
21_cp_21	21	111	22
21_cp_1	21	85	181
21_cp_9	21	88	50
21_cp_3	21	126	172
21_cp_31	21	92	12
21_cp_19	21	85	18
21_cp_8	21	96	134
21_mt_7	21	106	56
21_cp_5	21	78	138
21_cp_20	21	52	9106
21_mt_15	21	46	3351
21_cp_12	21	42	3
21_cp_10	21	102	64
21_mt_17	21	0	3837
21_cp_17	21	32	27
21_mt_19	21	86	10143
22_mt_2	22	59	12
22_mt_3	22	0	1792
22_cp_9	22	8	58
22_mt_5	22	7	239
22_mt_6	22	44	46
22_cp_20	22	94	20
22_mt_9	22	44	13
22_mt_10	22	23	6
22_cp_19	22	2	1
22_mt_11	22	46	113
22_cp_3	22	38	602
22_cp_17	22	66	14
22_cp_14	22	0	4
22_cp_15	22	34	16
22_mt_14	22	72	42
22_mt_15	22	32	1218
22_cp_5	22	71	2507
22_cp_6	22	1	10174
22_cp_11	22	0	9
22_mt_20	22	71	4
22_mt_21	22	57	55
22_cp_8	22	113	62
22_cp_12	22	36	71
22_cp_21	22	63	19
23_cp_4	23	86	28
23_cp_12	23	137	18489
23_cp_1	23	78	58529
23_cp_10	23	65	4117
23_cp_6	23	74	89
23_cp_16	23	0	5992
23_cp_27	23	93	17
23_mt_12	23	11	8
23_cp_28	23	30	27
23_cp_26	23	115	44
23_cp_20	23	60	37
24_cp_2	24	40	711
24_cp_7	24	10	91
24_mt_1	24	92	50
24_cp_8	24	55	25
24_cp_4	24	92	29
24_mt_4	24	5	5043
24_cp_6	24	48	50
25_cp_35	25	5	0
25_cp_18	25	2	10
25_cp_17	25	37	130
25_cp_28	25	7	3
25_mt_6	25	46	304
25_cp_7	25	60	69
25_cp_3	25	0	24092
25_mt_8	25	0	734
25_cp_13	25	39	28
25_mt_9	25	103	213
25_cp_15	25	70	24
25_cp_24	25	24	15
25_cp_16	25	49	38
25_cp_26	25	79	32
25_cp_19	25	66	38
25_cp_8	25	0	9089
25_cp_23	25	43	16
25_cp_21	25	32	22
25_cp_9	25	1	6
26_cp_1	26	0	951954
26_cp_41	26	42	219
26_cp_32	26	75	40
26_cp_35	26	27	60
26_cp_50	26	77	14
26_cp_21	26	83	55
26_cp_34	26	114	34
26_cp_52	26	90	200
26_cp_17	26	164	7931
26_cp_15	26	43	2364
26_cp_16	26	70	570
26_cp_7	26	33	717
26_cp_37	26	44	36
26_cp_28	26	55	46
26_mt_12	26	74	19
26_cp_23	26	57	27
26_cp_30	26	44	64
26_mt_14	26	111	46
26_cp_40	26	99	31
26_mt_16	26	104	507
27_cp_8	27	59	62
27_cp_9	27	33	22
27_cp_12	27	20	9
27_cp_6	27	59	286
27_cp_3	27	42	43
27_cp_1	27	0	536286
27_cp_10	27	87	670
27_mt_4	27	0	3708
27_cp_4	27	39	45
27_mt_5	27	43	107
27_cp_13	27	113	36
28_cp_13	28	45	9
28_mt_2	28	85	70
28_mt_4	28	54	19
28_mt_5	28	45	13
28_mt_6	28	62	126
28_cp_11	28	105	28
28_cp_10	28	41	15
28_cp_12	28	38	8
28_cp_1	28	0	237424
28_cp_2	28	18	171
28_mt_9	28	1	0
28_cp_14	28	85	46
28_cp_5	28	15	7971
28_cp_3	28	79	84
28_mt_15	28	32	5061
29_mt_1	29	57	276
29_cp_10	29	9	28
29_mt_4	29	33	10
29_cp_2	29	30	24
29_mt_8	29	100	46
29_cp_11	29	45	169
29_cp_5	29	17	24
29_cp_7	29	22	78
29_cp_8	29	20	1
29_cp_4	29	27	34
29_cp_1	29	26	2874
30_cp_21	30	104	25
30_cp_12	30	66	47
30_cp_8	30	32	12787
30_mt_5	30	104	132
30_cp_25	30	34	0
30_cp_19	30	40	12
30_cp_22	30	69	18
30_cp_11	30	35	26222
30_cp_24	30	134	13
30_mt_12	30	21	10584
30_cp_17	30	90	30
30_mt_14	30	85	94
30_cp_18	30	95	11
30_mt_16	30	89	53
30_cp_15	30	63	22
30_cp_14	30	39	57
30_cp_16	30	1	4
30_cp_6	30	92	85
30_mt_21	30	0	3198
30_mt_22	30	64	174
30_cp_9	30	97	149
30_mt_26	30	0	8700
30_mt_28	30	44	13606
30_cp_1	30	95	367438
30_cp_4	30	43	0
31_mt_1	31	93	14920
31_cp_18	31	92	77
31_cp_30	31	13	24
31_cp_3	31	34	7026
31_cp_5	31	45	134
31_cp_29	31	8	25
31_cp_7	31	27	130
31_mt_22	31	0	6080
31_cp_12	31	48	12
31_cp_37	31	98	20
31_cp_31	31	35	107
31_mt_25	31	36	12
31_cp_28	31	52	39
31_cp_35	31	87	16
31_mt_26	31	82	14
31_cp_21	31	54	46
31_cp_2	31	47	1131
31_cp_16	31	61	59
31_cp_33	31	86	23
31_cp_14	31	95	235
31_cp_23	31	107	28
31_cp_20	31	78	56
31_cp_11	31	53	41
31_cp_26	31	6	572
31_mt_30	31	111	28
32_cp_5	32	86	251
32_cp_7	32	31	50
32_cp_6	32	28	16
32_cp_25	32	100	23
32_cp_32	32	45	108
32_cp_35	32	29	8
32_cp_24	32	29	16
32_cp_4	32	33	168
32_cp_11	32	94	74
32_cp_16	32	69	16
32_cp_14	32	81	39
32_cp_34	32	62	31
32_cp_29	32	68	28
32_cp_23	32	108	58
32_cp_28	32	90	30
32_cp_8	32	84	133
32_cp_2	32	50	891
32_cp_26	32	39	16
32_cp_27	32	70	27
32_cp_22	32	49	55
32_cp_15	32	25	28
32_mt_4	32	19	1
32_cp_17	32	33	89
32_cp_33	32	1	37
32_mt_5	32	33	6
32_mt_6	32	19	356
32_mt_8	32	103	49
32_cp_30	32	15	37
33_cp_14	33	17	111
33_mt_1	33	29	5
33_cp_10	33	99	47
33_mt_2	33	83	27
33_cp_2	33	104	65
33_mt_4	33	112	114
33_cp_15	33	60	18
33_cp_1	33	72	742
33_cp_4	33	118	207
33_cp_8	33	0	14214
33_mt_7	33	28	7
33_mt_8	33	130	94
33_cp_7	33	87	84
34_cp_6	34	0	76380
34_cp_12	34	9	11
34_cp_4	34	83	125
34_mt_2	34	29	41408
34_cp_2	34	82	34574
34_cp_9	34	46	1244
34_cp_13	34	63	139
34_cp_19	34	10	58
34_mt_6	34	73	6
34_cp_3	34	89	188
34_cp_10	34	84	46
34_cp_16	34	62	58
34_mt_9	34	81	40
34_mt_10	34	90	30
34_mt_11	34	76	24
34_mt_12	34	81	30
34_mt_13	34	69	28
34_cp_8	34	63	99
34_cp_18	34	82	15
35_cp_1	35	43	273261
35_cp_23	35	127	2
35_cp_10	35	117	36
35_cp_16	35	22	10
35_cp_2	35	85	208
35_mt_2	35	15	1106
35_cp_21	35	80	15
35_cp_18	35	36	29
35_cp_15	35	43	16
35_mt_14	35	35	9535
35_cp_3	35	94	103
35_cp_14	35	274	138
35_cp_4	35	77	88
36_mt_1	36	23	548
36_cp_4	36	41	907
36_cp_7	36	15	3
36_cp_2	36	54	145
36_mt_4	36	7	2540
36_mt_5	36	112	1260
36_cp_13	36	114	53
36_mt_13	36	108	48
36_mt_15	36	32	23
37_cp_5	37	22	62
37_cp_9	37	77	31
37_cp_4	37	17	27
37_mt_6	37	10	0
37_cp_1	37	0	26537
38_cp_6	38	113	309
38_mt_4	38	15	5364
38_cp_2	38	79	10454
38_cp_21	38	15	3
38_cp_20	38	19	11
38_cp_17	38	67	30
38_cp_14	38	71	11
38_cp_22	38	31	44
38_cp_18	38	57	25
38_cp_27	38	26	23
38_cp_10	38	67	60
38_mt_14	38	0	415
38_cp_7	38	36	61
38_cp_8	38	25	42
38_cp_12	38	47	1
39_cp_2	39	83	34
39_cp_1	39	0	46683
39_cp_5	39	12	1
39_cp_3	39	23	12
39_mt_2	39	28	29
39_cp_6	39	79	20
39_mt_4	39	34	20
39_cp_4	39	41	22
39_cp_11	39	50	8
39_mt_6	39	86	15
40_mt_1	40	106	60
40_mt_2	40	0	6323
40_mt_3	40	14	1293
40_mt_4	40	91	95
40_cp_2	40	60	21
40_cp_1	40	45	115
41_cp_12	41	109	22
41_mt_1	41	61	50
41_mt_2	41	77	89
41_cp_4	41	100	120
41_cp_9	41	62	20
41_cp_6	41	65	165
41_cp_1	41	122	130
41_cp_10	41	67	10
41_cp_2	41	34	19
41_mt_8	41	45	1709
41_mt_12	41	40	15
42_cp_6	42	112	62
